# Zilocar analysis of NHTSA ODI complaints (FLAT_CMPL.txt, Last-Modified 2026-09-09 10:22 UTC, retrieved 2026-09-10).
# Universe: PROD_TYPE='V', model years 2015-2022, deduplicated on ODINO = 325,275 distinct complaints across 2,228 make/model labels.
# severe = CRASH='Y' OR INJURED>0 OR DEATHS>0, all self-reported and unverified.
# REVERSAL COLUMN: airbag-cited complaints are 4.9% of all complaints but 30.4% of severe ones, because an airbag complaint is near-definitionally crash-linked.
# severe_share_ex_airbag_pct removes every complaint citing AIR BAGS. Under it the Toyota Corolla falls from 1st (18.2%) to 5th (8.5%) and the Tesla Model X leads at 13.0%.
# Labels are exactly as NHTSA spells them, unmerged. Counts are distinct complaints, not vehicles or owners. No sales denominator exists in this file.
make,model,model_years,complaints,severe,severe_share_pct,crash_reports,injury_reports,death_reports,severe_citing_airbags,airbag_pct_of_severe,complaints_ex_airbag,severe_ex_airbag,severe_share_ex_airbag_pct
LEXUS,IS 300,2016-2022,22,4,18.18,3,4,0,1,25.0,21,3,14.29
LEXUS,UX,2020-2022,9,4,44.44,4,1,0,2,50.0,7,2,28.57
LINCOLN,MKT,2015-2019,59,4,6.78,2,3,0,0,0.0,59,4,6.78
MERCEDES-BENZ,GLE450,2016-2016,25,4,16.0,4,2,0,0,0.0,25,4,16.0
MERCEDES-BENZ,GLS 450,2018-2020,69,4,5.8,4,1,0,2,50.0,66,2,3.03
MERCEDES-BENZ,S 580,2021-2022,57,4,7.02,2,3,1,0,0.0,57,4,7.02
MINI,COUNTRYMAN,2015-2022,67,4,5.97,3,1,0,2,50.0,61,2,3.28
TOYOTA,SEQUOIA,2015-2022,62,4,6.45,2,4,0,0,0.0,59,4,6.78
TOYOTA,SUPRA,2020-2022,37,4,10.81,4,1,0,1,25.0,36,3,8.33
VOLKSWAGEN,GOLF ALLTRACK,2017-2019,99,4,4.04,1,3,0,0,0.0,87,4,4.6
VOLKSWAGEN,TAOS,2022-2022,311,4,1.29,4,1,0,2,50.0,303,2,0.66
VOLVO,VNL,2015-2022,31,4,12.9,3,2,0,1,25.0,30,3,10.0
ASTON MARTIN,V8 VANTAGE S,2016-2016,4,3,75.0,3,3,0,0,0.0,3,3,100.0
AUDI,A8,2015-2021,72,3,4.17,3,1,0,1,33.3,71,2,2.82
AUDI,S5,2015-2022,62,3,4.84,2,1,0,1,33.3,59,2,3.39
BMW,440I,2017-2019,16,3,18.75,3,2,0,2,66.7,14,1,7.14
BMW,I4,2022-2022,9,3,33.33,3,1,0,1,33.3,8,2,25.0
BMW,IX,2022-2022,29,3,10.34,3,0,0,0,0.0,28,3,10.71
BMW,R1200 GS,2015-2018,29,3,10.34,3,2,0,0,0.0,29,3,10.34
BMW,X2,2018-2022,21,3,14.29,3,2,0,2,66.7,19,1,5.26
BMW,Z4,2015-2022,21,3,14.29,3,1,0,1,33.3,20,2,10.0
CAN-AM,SPYDER RT,2015-2022,52,3,5.77,1,3,1,0,0.0,52,3,5.77
CHRYSLER,300C,2015-2017,23,3,13.04,3,0,0,0,0.0,21,3,14.29
FORD,E-450,2015-2022,84,3,3.57,2,1,0,0,0.0,81,3,3.7
FORD,ESCAPE PHEV,2020-2022,101,3,2.97,2,2,0,0,0.0,99,3,3.03
FORD,F-550 SD,2015-2022,45,3,6.67,2,2,0,0,0.0,45,3,6.67
GMC,YUKON DENALI XL,2015-2018,100,3,3.0,2,1,0,0,0.0,100,3,3.0
GRAND DESIGN,REFLECTION,2015-2022,132,3,2.27,1,2,0,0,0.0,132,3,2.27
HARLEY-DAVIDSON,FLHX,2015-2020,21,3,14.29,3,3,0,0,0.0,21,3,14.29
HARLEY-DAVIDSON,FLTRX,2015-2022,12,3,25.0,1,3,0,0,0.0,12,3,25.0
HARLEY-DAVIDSON,FLTRXS,2015-2022,41,3,7.32,3,2,0,0,0.0,41,3,7.32
HONDA,CIVIC TYPE R,2017-2021,24,3,12.5,3,1,0,1,33.3,22,2,9.09
HYUNDAI,IONIQ ELECTRIC,2017-2021,24,3,12.5,3,1,0,0,0.0,24,3,12.5
INDIAN,SCOUT,2015-2022,18,3,16.67,3,2,0,0,0.0,18,3,16.67
INFINITI,QX80,2015-2022,92,3,3.26,3,3,0,2,66.7,77,1,1.3
JAGUAR,I-PACE,2019-2022,205,3,1.46,3,0,0,0,0.0,205,3,1.46
KENWORTH,T680,2015-2022,52,3,5.77,2,1,0,0,0.0,52,3,5.77
KYMCO,K-PIPE,2017-2022,5,3,60.0,3,2,0,0,0.0,5,3,60.0
LEXUS,LS500,2018-2021,8,3,37.5,3,1,0,0,0.0,8,3,37.5
LINCOLN,AVIATOR PHEV,2020-2022,27,3,11.11,2,1,0,1,33.3,26,2,7.69
MAZDA,MAZDA5,2015-2016,11,3,27.27,3,1,0,1,33.3,10,2,20.0
MERCEDES-BENZ,A 220,2019-2022,77,3,3.9,2,3,0,1,33.3,71,2,2.82
