make,model,my_window,total_complaints,severe_complaints,crash_reports,injury_reports,death_reports,severe_share_pct
TOYOTA,CAMRY HYBRID,2015-2022,83,8,7,5,0,9.6
MERCEDES-BENZ,E350,2015-2022,89,8,7,6,0,9.0
GENESIS,GV70,2015-2022,92,8,8,2,1,8.7
GENESIS,G70,2015-2022,110,8,8,1,0,7.3
JEEP,GRAND CHEROKEE 4XE,2015-2022,147,8,8,5,0,5.4
BUICK,ENCORE GX,2015-2022,151,8,7,5,0,5.3
BMW,I3,2015-2022,158,8,7,4,0,5.1
AUDI,Q3,2015-2022,205,8,6,3,0,3.9
PORSCHE,TAYCAN,2015-2022,239,8,7,2,0,3.3
AUDI,A3,2015-2022,284,8,6,5,0,2.8
HYUNDAI,IONIQ 5,2015-2022,404,8,7,1,0,2.0
FORD,MAVERICK HYBRID,2015-2022,459,8,6,3,0,1.7
SCION,TC,2015-2022,28,7,5,5,0,25.0
TOYOTA,PRIUS C,2015-2022,37,7,5,6,0,18.9
MERCEDES-BENZ,AMG GLE43,2015-2022,38,7,4,5,0,18.4
MAZDA,MX-5,2015-2022,66,7,6,4,0,10.6
MERCEDES-BENZ,S550,2015-2022,72,7,4,5,0,9.7
BMW,540I,2015-2022,76,7,7,3,0,9.2
FOREST RIVER,ROCKWOOD,2015-2022,78,7,5,4,0,9.0
GENESIS,GV80,2015-2022,101,7,7,4,0,6.9
CADILLAC,ATS,2015-2022,116,7,6,6,0,6.0
GMC,SIERRA DENALI,2015-2022,118,7,4,4,0,5.9
CAN-AM,RYKER,2015-2022,123,7,6,4,0,5.7
LINCOLN,CORSAIR,2015-2022,128,7,4,5,0,5.5
RAM,5500,2015-2022,137,7,6,3,0,5.1
LAND ROVER,DISCOVERY SPORT,2015-2022,167,7,7,1,0,4.2
ALFA ROMEO,STELVIO,2015-2022,195,7,7,3,0,3.6
FORD,FUSION ENERGI,2015-2022,232,7,5,2,1,3.0
JAGUAR,XJ,2015-2022,19,6,6,4,0,31.6
SCION,IA,2015-2022,23,6,6,3,0,26.1
TOYOTA,MIRAI,2015-2022,24,6,4,3,0,25.0
LEXUS,RX HYBRID,2015-2022,30,6,6,2,0,20.0
KIA,SOUL EV,2015-2022,37,6,6,2,0,16.2
MITSUBISHI,ECLIPSE CROSS,2015-2022,43,6,5,5,1,14.0
BMW,530E,2015-2022,44,6,4,4,0,13.6
TOYOTA,COROLLA CROSS,2015-2022,45,6,6,6,0,13.3
BMW,X1 SAV,2015-2022,54,6,5,4,0,11.1
GENESIS,G90,2015-2022,57,6,6,2,0,10.5
MASERATI,GHIBLI,2015-2022,60,6,6,2,0,10.0
MERCEDES-BENZ,E 300,2015-2022,61,6,4,5,0,9.8
FORD,E-350,2015-2022,67,6,4,2,0,9.0
KIA,NIRO EV,2015-2022,68,6,6,1,0,8.8
MERCEDES-BENZ,GLS450,2015-2022,70,6,3,4,0,8.6
CADILLAC,XTS,2015-2022,72,6,5,1,0,8.3
BMW,X4,2015-2022,76,6,6,1,0,7.9
FORD,F-450,2015-2022,83,6,4,3,0,7.2
SUBARU,XV CROSSTREK,2015-2022,84,6,6,3,0,7.1
AUDI,SQ5,2015-2022,84,6,4,2,0,7.1
FORD,F-150 LIGHTNING BEV,2015-2022,90,6,4,2,0,6.7
MERCEDES-BENZ,GLB 250,2015-2022,91,6,4,4,0,6.6
CHEVROLET,EXPRESS,2015-2022,96,6,5,4,0,6.2
HYUNDAI,VENUE,2015-2022,96,6,6,2,0,6.2
HYUNDAI,TUCSON HYBRID,2015-2022,112,6,6,1,0,5.4
LINCOLN,CONTINENTAL,2015-2022,133,6,4,2,0,4.5
AUDI,A5,2015-2022,138,6,4,2,1,4.3
AUDI,E-TRON,2015-2022,145,6,5,3,0,4.1
JEEP,GRAND CHEROKEE L,2015-2022,146,6,5,2,0,4.1
BMW,X7,2015-2022,163,6,3,3,0,3.7
LINCOLN,NAUTILUS,2015-2022,168,6,6,1,0,3.6
NISSAN,TITAN XD,2015-2022,197,6,5,2,0,3.0
TOYOTA,COROLLA IM,2015-2022,20,5,5,4,0,25.0
LUCID,AIR,2015-2022,23,5,5,0,0,21.7
TOYOTA,YARIS IA,2015-2022,24,5,5,2,0,20.8
LEXUS,ES HYBRID,2015-2022,26,5,5,1,0,19.2
