make,model,transmission_complaints,narrative_confirmed_complaints,total_complaints,transmission_share_pct
HONDA,CMX300,1,1,1,100.0
HONDA,CRF1000,1,0,28,3.6
HONDA,CRF1000A,1,0,18,5.6
HONDA,CRF1000D,1,1,13,7.7
HONDA,CRF1100 AFRICA TWIN,1,1,8,12.5
HONDA,CRF450,1,0,3,33.3
HONDA,CT125,1,1,3,33.3
HONDA,GL1800B,1,1,3,33.3
HONDA,GL1800C,1,1,3,33.3
HONDA,GL5,1,1,1,100.0
HONDA,INSPIRE,1,1,39,2.6
HONDA,MONKEY125,1,1,2,50.0
HONDA,NC700JD,1,1,1,100.0
HONDA,NC750X,1,1,2,50.0
HONDA,PC800,1,1,3,33.3
HONDA,PS250,1,1,3,33.3
HONDA,RC-51,1,0,1,100.0
HONDA,ST1300,1,1,41,2.4
HONDA,TRANSMISSION COOLING KIT,1,1,1,100.0
HONDA,TRX350,1,1,1,100.0
HONDA,TRX450ES,1,1,1,100.0
HONDA,VT1100C,1,1,7,14.3
HONDA,VT1100C3,1,1,3,33.3
HONDA,VT750C,1,1,19,5.3
HUMMER,H2 SUT,1,1,29,3.4
HUSQVARNA,701 SUPERMOTO,1,1,2,50.0
HUSQVARNA,SVARTPILEN 401,1,0,8,12.5
HYOSUNG,GT250,1,1,8,12.5
HYUNDAI,SANTA FE XL,1,0,31,3.2
HYUNDAI,SONATA GLS,1,0,67,1.5
IC BUS,PB105,1,1,11,9.1
ICON EV,I20,1,0,3,33.3
INDEPENDENCE,FREEDOM EXPRESS,1,1,17,5.9
INDIAN,CHALLENGER DARK HORSE,1,0,11,9.1
INDIAN,CHIEF ROADMASTER,1,0,6,16.7
INDIAN,CHIEF VINTAGE,1,0,18,5.6
INDIAN,CHIEFTAN,1,1,4,25.0
INDIAN,PURSUIT DARK HORSE,1,1,6,16.7
INDIAN,ROADMASTER ELITE,1,1,3,33.3
INDIAN,SCOUT BOBBER,1,1,14,7.1
INDIAN,SPIRIT,1,1,15,6.7
INFINITI,FX37,1,1,6,16.7
INFINITI,INFINITI,1,1,27,3.7
INFINITI,QX55,1,0,13,7.7
INFINITI,QX70,1,1,29,3.4
INTERNATIONAL,3600,1,1,2,50.0
INTERNATIONAL,3800,1,1,7,14.3
INTERNATIONAL,7000,1,1,1,100.0
INTERNATIONAL,9900I,1,1,10,10.0
INTERNATIONAL,CE,1,0,24,4.2
INTERNATIONAL,INTERNATIONAL,1,1,26,3.8
INTERNATIONAL,LONESTAR,1,0,9,11.1
INTERNATIONAL,MV,1,0,9,11.1
INTERNATIONAL,PROSTAR,1,0,54,1.9
INTERNATIONAL,WORKSTAR,1,0,1,100.0
INTERNATIONAL HARVESTER,9400,1,1,16,6.2
INTERNATIONAL HARVESTER,9800,1,1,3,33.3
ISUZU,I MARK,1,0,20,5.0
ISUZU,IMPULSE,1,1,41,2.4
ISUZU,TROOPER II,1,1,32,3.1
ISUZU,VEHICROSS,1,1,80,1.2
ITASCA,HORIZON,1,0,22,4.5
ITASCA,MERIDIAN,1,0,16,6.2
ITASCA,NAVION IQ,1,1,4,25.0
ITASCA,SUNRISE,1,1,17,5.9
JAGUAR,SEDAN RANGE,1,1,7,14.3
JAGUAR,STYLE,1,1,4,25.0
JAGUAR,XJ12,1,1,22,4.5
JAGUAR,XK,1,0,61,1.6
JAGUAR,XK CONVERTIBLE,1,1,5,20.0
JAGUAR,XKR,1,1,18,5.6
JAYCO,ALANTE,1,0,23,4.3
JAYCO,PRECEPT,1,0,73,1.4
JEEP,CJ5,1,1,2,50.0
JEEP,CJ7,1,1,17,5.9
KARAVAN,600-00850-BL-NAS,1,0,4,25.0
KAUFMAN,FDW-6K-18,1,0,2,50.0
KAWASAKI,CONCOURS 14,1,1,64,1.6
KAWASAKI,EJ650-A3,1,0,2,50.0
KAWASAKI,EX250F6F,1,1,4,25.0
KAWASAKI,EX250JCF,1,1,3,33.3
KAWASAKI,KL250,1,1,1,100.0
KAWASAKI,KL250D22,1,1,1,100.0
KAWASAKI,KL650A,1,0,7,14.3
KAWASAKI,KL650E,1,1,23,4.3
KAWASAKI,KL650E8F,1,0,2,50.0
KAWASAKI,KLE650CCFL,1,0,1,100.0
KAWASAKI,KZ750,1,1,1,100.0
KAWASAKI,NINJA H2,1,1,1,100.0
KAWASAKI,VN1600-A1,1,1,7,14.3
KAWASAKI,VN1600A3,1,1,2,50.0
KAWASAKI,VN1600B2,1,1,4,25.0
KAWASAKI,VN1600D1,1,1,4,25.0
KAWASAKI,VN1700AAF,1,1,8,12.5
KAWASAKI,VN1700G9F,1,1,3,33.3
KAWASAKI,VN2000G8F,1,1,2,50.0
KAWASAKI,VN750A6F,1,1,2,50.0
KAWASAKI,VN900B6F,1,1,7,14.3
KAWASAKI,VOYAGER XII,1,1,3,33.3
KAWASAKI,VULCAN 1700 VOYAGER,1,1,3,33.3
KAWASAKI,Z7 HYBRID,1,1,1,100.0
KAWASAKI,ZG1000,1,1,2,50.0
KAWASAKI,ZR1100A2,1,1,2,50.0
KAWASAKI,ZX-6R,1,0,20,5.0
KAWASAKI,ZX1000,1,1,4,25.0
KAWASAKI,ZX10R,1,0,1,100.0
KAWASAKI,ZX1100-C,1,1,2,50.0
KAWASAKI,ZX14,1,1,8,12.5
KAWASAKI,ZX1400A7F,1,1,3,33.3
KAWASAKI,ZX400,1,1,3,33.3
KAWASAKI,ZX600J7F,1,0,12,8.3
KAWASAKI,ZX636 B1L,1,1,1,100.0
KELLY SPRINGFIELD,KELLY SPRINGFIELD,1,1,92,1.1
KENWORTH,T2000,1,0,56,1.8
KENWORTH,T280,1,1,1,100.0
KENWORTH,T370,1,1,4,25.0
KENWORTH,T600,1,1,21,4.8
KENWORTH,T880,1,1,15,6.7
KENWORTH,W900,1,0,42,2.4
KEYSTONE,MONTANA,1,0,188,0.5
KEYSTONE,SPRINGDALE,1,0,68,1.5
KIA,LD SPECTRA,1,1,12,8.3
KIA,RIO5,1,1,9,11.1
KNAPHEIDE,NISSAN 1800HD,1,0,2,50.0
KTM,1290 SUPER ADVENTURE R,1,0,7,14.3
KTM,390 ADVENTURE,1,0,13,7.7
KTM,390 DUKE,1,1,8,12.5
KTM,50 SX,1,1,2,50.0
KTM,690 ENDURO,1,1,3,33.3
KTM,990 ADVENTURE,1,1,4,25.0
KYMCO,AGILITY,1,0,13,7.7
KYMCO,SPADE,1,1,2,50.0
LAG,PANORAMIC,1,1,1,100.0
LAMBORGHINI,AVENTADOR S,1,1,1,100.0
LAMBORGHINI,GALLARDO,1,1,5,20.0
LAND ROVER,DEFENDER 90,1,1,7,14.3
LAND ROVER,RANGE ROVER PHEV,1,1,7,14.3
LAZY DAZE,LAZY DAZE,1,1,11,9.1
LEXUS,ES250,1,1,39,2.6
LEXUS,GS400,1,0,81,1.2
LEXUS,IS 250C,1,0,25,4.0
LEXUS,IS 350C,1,0,29,3.4
LEXUS,IS F,1,0,26,3.8
LEXUS,LS HYBRID,1,0,7,14.3
LEXUS,LS430,1,1,169,0.6
LEXUS,LS500,1,1,8,12.5
LEXUS,LX 470,1,1,13,7.7
LEXUS,NX200,1,1,20,5.0
LEXUS,NX200T,1,1,43,2.3
LEXUS,NX350H,1,1,1,100.0
LEXUS,RC 200T,1,1,10,10.0
LEXUS,SC430,1,1,123,0.8
LEXUS,UX,1,1,11,9.1
LEXUS,UX HYBRID,1,1,18,5.6
LEXUS,UX200,1,0,9,11.1
LIGHTNING EMOTORS,FORD E-450,1,1,3,33.3
LINCOLN,BLACKWOOD,1,0,12,8.3
LINCOLN,MARK IV,1,1,4,25.0
LITTLE GUY,RASCAL,1,0,2,50.0
LOOK,CARGO TRAILER,1,0,4,25.0
LOTUS,ELAN,1,1,18,5.6
LUCID,GRAVITY,1,0,29,3.4
MACK,CH600,1,1,9,11.1
MACK,CX613,1,1,10,10.0
MACK,CXU,1,1,7,14.3
MACK,GRANITE (GU),1,1,3,33.3
MACK,PINNACLE (CXU),1,1,5,20.0
MARK III,CHEVROLET TAHOE,1,1,1,100.0
MARK III,FORD WINDSTAR,1,1,5,20.0
MASERATI,GRANTURISMO,1,0,17,5.9
MASERATI,GRECALE,1,1,21,4.8
MASERATI,LEVANTE,1,1,51,2.0
MASERATI,QUATTROPORTES,1,1,4,25.0
MAZDA,!MX-5,1,1,3,33.3
MAZDA,ATENZA,1,1,5,20.0
MAZDA,MAZDA2,1,0,60,1.7
MCI,J4500,1,1,4,25.0
MCLAREN,ARTURA,1,1,3,33.3
MERCEDES,GLK350,1,1,5,20.0
MERCEDES BENZ,203,1,1,4,25.0
MERCEDES BENZ,220,1,1,35,2.9
MERCEDES BENZ,300SE,1,0,9,11.1
MERCEDES BENZ,380,1,0,25,4.0
MERCEDES BENZ,400E,1,0,44,2.3
MERCEDES BENZ,420SEL,1,1,1,100.0
MERCEDES BENZ,430,1,1,38,2.6
MERCEDES BENZ,500SEL,1,1,2,50.0
MERCEDES BENZ,560,1,1,54,1.9
MERCEDES BENZ,C220,1,0,150,0.7
MERCEDES BENZ,CL CLASS,1,0,52,1.9
MERCEDES BENZ,CL215,1,1,1,100.0
MERCEDES BENZ,E420,1,1,13,7.7
MERCEDES BENZ,E550,1,1,69,1.4
MERCEDES BENZ,G500,1,1,14,7.1
MERCEDES BENZ,GL,1,1,15,6.7
MERCEDES BENZ,GL320,1,0,37,2.7
MERCEDES BENZ,GL350,1,1,1,100.0
MERCEDES BENZ,GLC,1,1,8,12.5
MERCEDES BENZ,GLE 580 4MATIC,1,1,3,33.3
MERCEDES BENZ,MERCEDES BENZ TRUCK,1,1,15,6.7
MERCEDES BENZ,ML55,1,1,18,5.6
MERCEDES BENZ,ML63,1,1,6,16.7
MERCEDES BENZ,R CLASS,1,1,5,20.0
MERCEDES BENZ,R320,1,1,23,4.3
MERCEDES BENZ,S SERIES,1,0,13,7.7
MERCEDES BENZ,S320,1,1,14,7.1
MERCEDES BENZ,S420,1,0,23,4.3
MERCEDES BENZ,S63,1,0,12,8.3
MERCEDES BENZ,SL55,1,1,27,3.7
MERCEDES BENZ,SL600,1,1,28,3.6
MERCEDES BENZ,SLK55,1,1,8,12.5
MERCEDES ROYALE,SPRINTER COACH,1,0,31,3.2
MERCEDES-BENZ,A 220 4MATIC,1,0,3,33.3
MERCEDES-BENZ,AMG C32,1,0,15,6.7
MERCEDES-BENZ,AMG C63S,1,0,10,10.0
MERCEDES-BENZ,AMG E 53 4MATIC+ WAGON,1,1,7,14.3
MERCEDES-BENZ,AMG E43,1,1,18,5.6
MERCEDES-BENZ,AMG G63,1,0,24,4.2
MERCEDES-BENZ,AMG GLC63 S,1,1,2,50.0
MERCEDES-BENZ,AMG GLS63,1,0,10,10.0
MERCEDES-BENZ,AMG GT S,1,0,5,20.0
MERCEDES-BENZ,AMG GT53,1,1,6,16.7
MERCEDES-BENZ,AMG ML63,1,0,14,7.1
MERCEDES-BENZ,AMG S63,1,0,19,5.3
MERCEDES-BENZ,AMG S63 4MATIC,1,1,4,25.0
MERCEDES-BENZ,C 300 4MATIC,1,0,10,10.0
MERCEDES-BENZ,C 350 E,1,0,3,33.3
MERCEDES-BENZ,C350E,1,0,19,5.3
MERCEDES-BENZ,C450,1,1,26,3.8
MERCEDES-BENZ,CL550,1,0,10,10.0
MERCEDES-BENZ,CLS 450,1,0,33,3.0
MERCEDES-BENZ,CLS400,1,1,12,8.3
MERCEDES-BENZ,CLS63,1,0,3,33.3
MERCEDES-BENZ,E 400 4MATIC,1,0,1,100.0
MERCEDES-BENZ,E 450 4MATIC COUPE,1,0,1,100.0
MERCEDES-BENZ,E250,1,0,23,4.3
MERCEDES-BENZ,E400,1,0,80,1.2
MERCEDES-BENZ,E400 HYBRID,1,1,3,33.3
MERCEDES-BENZ,EQE 350 4MATIC,1,1,16,6.2
MERCEDES-BENZ,EQE 500,1,0,8,12.5
MERCEDES-BENZ,EQE350,1,0,7,14.3
MERCEDES-BENZ,EQS 450,1,1,47,2.1
MERCEDES-BENZ,EQS 580,1,0,26,3.8
MERCEDES-BENZ,EQS SUV 580 4MATIC,1,0,6,16.7
MERCEDES-BENZ,ESPRINTER,1,0,3,33.3
MERCEDES-BENZ,G 550,1,0,24,4.2
MERCEDES-BENZ,GLB 250 4MATIC,1,0,16,6.2
MERCEDES-BENZ,GLC,1,0,27,3.7
MERCEDES-BENZ,GLC350E,1,0,11,9.1
MERCEDES-BENZ,GLE,1,1,13,7.7
MERCEDES-BENZ,GLE 350 E,1,0,3,33.3
MERCEDES-BENZ,GLE 450 4MATIC,1,1,19,5.3
MERCEDES-BENZ,GLE 550 E,1,0,7,14.3
MERCEDES-BENZ,GLE 580,1,0,14,7.1
MERCEDES-BENZ,GLE550E,1,1,6,16.7
MERCEDES-BENZ,GLS 550,1,1,12,8.3
MERCEDES-BENZ,GLS550,1,0,6,16.7
MERCEDES-BENZ,M166,1,1,6,16.7
MERCEDES-BENZ,ML400,1,1,8,12.5
MERCEDES-BENZ,ML550,1,0,25,4.0
MERCEDES-BENZ,REDUNDANT EQE 350 4MATIC,1,0,14,7.1
MERCEDES-BENZ,S 500,1,0,43,2.3
MERCEDES-BENZ,S550 4MATIC,1,1,24,4.2
MERCEDES-BENZ,S560,1,1,25,4.0
MERCEDES-BENZ,SL 550,1,0,3,33.3
MERCEDES-BENZ,SLK350,1,1,16,6.2
MERCURY,MONARCH,1,1,2,50.0
MERCURY,ZEPHYR,1,1,8,12.5
MERKUR,SCORPIO,1,1,13,7.7
MICHELIN,LX1,1,0,6,16.7
MICHELIN,LXI TIRE,1,0,6,16.7
MICHELIN,MXV4,1,0,121,0.8
MICHELIN,RADIAL TIRE,1,1,27,3.7
MINI,COOPER US,1,1,22,4.5
MINI,COOPER WORKS,1,0,3,33.3
MINI,JCW,1,1,22,4.5
MINI,JCW COUNTRYMAN ALL4,1,1,3,33.3
MINI,PACEMAN,1,0,9,11.1
MITSUBISHI,3000,1,0,4,25.0
MITSUBISHI,CANTER,1,1,3,33.3
MITSUBISHI,LANCER SPORTBACK,1,1,19,5.3
MITSUBISHI,LANCER SPORTBACK RALLIART,1,0,1,100.0
MITSUBISHI,PICKUP,1,1,10,10.0
MITSUBISHI,SIGMA,1,1,6,16.7
MITSUBISHI,SPYDER,1,1,35,2.9
MITSUBISHI,TRUCK,1,1,14,7.1
MITSUBISHI,WAGON,1,1,4,25.0
MITSUBISHI CARIBBEAN,EXPO,1,1,1,100.0
MITSUBISHI CARIBBEAN,MONTERO,1,1,21,4.8
MITSUBISHI FUSO,FE140G,1,0,2,50.0
MITSUBISHI FUSO,FE640,1,1,1,100.0
MITSUBISHI FUSO,FE649,1,1,3,33.3
MITSUBISHI FUSO,FG639,1,1,1,100.0
MITSUBISHI FUSO,FH 211,1,0,4,25.0
MITSUBISHI FUSO,FH617,1,0,3,33.3
MOBILITY VENTURES,MV-1,1,0,5,20.0
MONACO COACH,DIPLOMAT,1,0,90,1.1
MONTANA,3670 RL,1,0,15,6.7
MOPAR,GEAR SHIFT CONTROL CABLE,1,1,1,100.0
MOPAR,HIGH PRESSURE FUEL PUMP,1,1,5,20.0
MOTO GUZZI,BREVA 1200,1,1,1,100.0
MOTO GUZZI,NORGE 1200,1,1,11,9.1
MOTO GUZZI,V7,1,1,3,33.3
MOTO GUZZI,V85 TT,1,0,5,20.0
MOTO GUZZI,V9,1,0,1,100.0
NATIONAL RV,DOLPHIN,1,1,46,2.2
NATIONAL RV,TRADEWINDS,1,1,16,6.2
NAVISTAR,NAVISTAR,1,1,1,100.0
NEWELL,MOTOR HOME,1,0,3,33.3
NEWMAR,LONDON AIRE,1,0,34,2.9
NEWMAR,NEWMAR,1,0,27,3.7
NEXUS,VIPER,1,0,2,50.0
NISSAN,210,1,1,2,50.0
NISSAN,720,1,1,9,11.1
NISSAN,NISSAN TRUCK,1,0,16,6.2
NISSAN,NV200,1,1,41,2.4
NISSAN,NX,1,1,17,5.9
NISSAN,PULSAR,1,1,22,4.5
NISSAN,REDUNDANT MURANO,1,1,3,33.3
NISSAN,REDUNDANT NV200,1,1,58,1.7
NISSAN,REDUNDANT PATHFINDER,1,1,9,11.1
NISSAN,REDUNDANT ROGUE,1,0,30,3.3
NISSAN,SERENA,1,1,1,100.0
NISSAN,VAN,1,1,17,5.9
OLDSMOBILE,CALAIS,1,1,124,0.8
OLDSMOBILE,DELTA 88,1,0,11,9.1
OLDSMOBILE,S/T UTILITY,1,1,1,100.0
OLDSMOBILE,U-VAN,1,0,2,50.0
OPEL,GT,1,0,3,33.3
OSHKOSH,X LINE,1,1,4,25.0
OUTBACK CUSTOM,DODGE RAM RCA,1,1,3,33.3
PETERBILT,335,1,1,6,16.7
PETERBILT,387,1,1,14,7.1
PETERBILT,389,1,0,34,2.9
PIAGGIO,BV 400,1,0,2,50.0
PIAGGIO,BV 500,1,0,13,7.7
PIRELLI,PIRELLI,1,0,197,0.5
PLEASURE WAY,PLATEAU,1,0,18,5.6
PLYMOUTH,CARAVELLE,1,0,9,11.1
PLYMOUTH,HORIZON,1,1,31,3.2
PLYMOUTH,RELIANT,1,1,67,1.5
PLYMOUTH,VOYAGER (AWD),1,1,4,25.0
POLARIS,1633,1,1,7,14.3
POLARIS,RANGER 900,1,1,3,33.3
POLARIS,SCRAMBLER,1,1,3,33.3
POLARIS,SLINGSHOT S,1,1,2,50.0
POLARIS,SLINGSHOT SL,1,0,4,25.0
POLARIS,SPORTSMAN,1,1,4,25.0
PONTIAC,PARISIENNE,1,1,18,5.6
PORSCHE,718 BOXSTER,1,1,6,16.7
PORSCHE,928,1,0,4,25.0
PORSCHE,CAYENNE GTS,1,1,3,33.3
PORSCHE,CAYENNE S E-HYBRID,1,0,5,20.0
PORSCHE,CAYMAN S,1,1,12,8.3
PORSCHE,MACAN S,1,0,26,3.8
PORSCHE,PANAMERA 4,1,0,4,25.0
PORSCHE,PANAMERA S,1,0,9,11.1
PRIME TIME,TRACER,1,0,8,12.5
PRINZING,BARON,1,1,8,12.5
RAM,C/V TRADESMAN,1,1,14,7.1
RAM,PROMASTER 1500,1,1,6,16.7
RENAULT,ALLIANCE,1,1,46,2.2
REXHALL,AERBUS,1,1,34,2.9
ROCKWOOD,LUMINA,1,1,1,100.0
ROCKWOOD,PRESTIGE,1,0,2,50.0
ROCKWOOD,ROCKWOOD,1,1,43,2.3
ROYAL ENFIELD,BULLET C5 MILITARY,1,1,2,50.0
ROYAL ENFIELD,HIMALAYAN,1,0,21,4.8
SAAB,9-2X,1,0,148,0.7
SAAB,9-4X,1,1,6,16.7
SAAB,95,1,1,62,1.6
SAAB,952,1,1,12,8.3
SAFARI COACH,SAHARA,1,1,20,5.0
SAFARI COACH,SIMBA,1,1,15,6.7
SATURN,EV1,1,0,5,20.0
SATURN,S SERIES,1,1,3,33.3
SATURN,S-SERIES COUPE,1,1,13,7.7
SATURN,SL1,1,1,2,50.0
SATURN,SL2,1,1,6,16.7
SATURN,SPORTS COUPE,1,1,4,25.0
SATURN,WAGON,1,1,2,50.0
SEARS,SEARS,1,1,23,4.3
SHOW TRUCKS,FORD E150,1,0,1,100.0
SMART,FORTWO CABRIOLET,1,1,2,50.0
SMART,FORTWO COUPE ELECTRIC,1,1,7,14.3
SPARTAN,HIGHLANDER,1,0,10,10.0
SPARTAN,METROSTAR,1,0,4,25.0
STARCRAFT,STARSTREAM 24QB,1,0,2,50.0
STERLING,ACTERRA,1,1,10,10.0
STP,STP,1,1,1,100.0
SUBARU,ESTEEM,1,0,4,25.0
SUBARU,IMPREZA WRX,1,1,9,11.1
SUBARU,TRAILSEEKER,1,0,34,2.9
SUBARU,WRX STI,1,1,27,3.7
SUBARU,XV CROSSTREK HYBRID,1,1,16,6.2
SUZUKI,BOULEVARD C50,1,1,4,25.0
SUZUKI,C50 (BOULEVARD),1,1,22,4.5
SUZUKI,C90,1,1,9,11.1
SUZUKI,C90T,1,1,10,10.0
SUZUKI,EQUATOR,1,1,17,5.9
SUZUKI,GSF1250,1,1,6,16.7
SUZUKI,GSX-1300RK8,1,1,3,33.3
SUZUKI,GSX-R750X,1,1,3,33.3
SUZUKI,GSX1300RAL8,1,1,1,100.0
SUZUKI,GSXR600,1,1,12,8.3
SUZUKI,GZ250,1,1,3,33.3
SUZUKI,KATANA,1,1,4,25.0
SUZUKI,KAZASHI,1,0,9,11.1
SUZUKI,M109R,1,0,4,25.0
SUZUKI,SAMURAI,1,1,51,2.0
SUZUKI,SV650,1,1,12,8.3
SUZUKI,VINSON,1,1,4,25.0
SUZUKI,VL1500,1,1,53,1.9
SUZUKI,VL800TL,1,1,1,100.0
SUZUKI,VS1400GLPK4,1,0,2,50.0
SUZUKI,VS700,1,1,3,33.3
SUZUKI,VZ800,1,1,8,12.5
SUZUKI,VZR1800K9,1,1,1,100.0
SUZUKI,WHEEL,1,1,27,3.7
SYM,WOLF CLASSIC 150CC,1,1,1,100.0
TAURUS,TAURUS,1,1,2,50.0
TESLA,ROADSTER2,1,0,2,50.0
TH!NK,NEIGHBOR,1,0,4,25.0
THOMAS BUILT BUSES,SAF-T-LINER HDX,1,1,10,10.0
THOR MOTOR COACH,CHALLENGER,1,0,45,2.2
THOR MOTOR COACH,QUANTUM,1,0,11,9.1
THOR MOTOR COACH,REDUNDANT CHALLENGER,1,0,3,33.3
THOR MOTOR COACH,SANCTUARY,1,1,9,11.1
THOR MOTOR COACH,TELLARO,1,0,8,12.5
TIFFIN,ALLEGRO BREEZE,1,0,12,8.3
TIFFIN,ALLEGRO BUS,1,0,27,3.7
TIFFIN,WAYFARER,1,1,30,3.3
TIGAR,PAW,1,1,4,25.0
TOYO,TOYO,1,1,142,0.7
TOYOTA,4X4,1,1,40,2.5
TOYOTA,BZ,1,0,24,4.2
TOYOTA,BZ4X,1,1,76,1.3
TOYOTA,CARGO VAN,1,1,1,100.0
TOYOTA,COROLLA HATCHBACK,1,1,10,10.0
TOYOTA,CORONA,1,0,2,50.0
TOYOTA,PASEO,1,1,44,2.3
TOYOTA,SCION TC,1,0,23,4.3
TOYOTA,SUNRADER,1,0,2,50.0
TOYOTA,TIOO,1,1,22,4.5
TOYOTA,TUNDRA HYBRID,1,1,12,8.3
TRIUMPH,BONNEVILLE T100 BLACK A3,1,0,3,33.3
TRIUMPH,BONNEVILLE T120 BLACK,1,0,4,25.0
TRIUMPH,DAYTONA 675,1,1,16,6.2
TRIUMPH,EXPLORER,1,1,3,33.3
TRIUMPH,ROCKET 3 R,1,1,7,14.3
TRIUMPH,SCRAMBLER,1,1,6,16.7
TRIUMPH,SCRAMBLER 1200 XC,1,1,6,16.7
TRIUMPH,SPEED 400,1,0,25,4.0
TRIUMPH,SPEED TRIPLE RS,1,1,4,25.0
TRIUMPH,SPRINT ST,1,1,28,3.6
TRIUMPH,STREET TRIPLE,1,1,6,16.7
TRIUMPH,THRUXTON,1,1,33,3.0
TRIUMPH,THUNDERBIRD SPORT,1,1,1,100.0
TRIUMPH,TIGER 800,1,1,9,11.1
TRIUMPH,TIGER 800XC ABS A1,1,1,1,100.0
TRIUMPH,TIGER SPORT,1,0,7,14.3
TRIUMPH,TRIUMPH,1,1,25,4.0
TRV,400,1,0,2,50.0
U-HAUL,AUTO TRANSPORTER TRAILER,1,0,11,9.1
UNIROYAL,TIGERPAW,1,1,39,2.6
UNIROYAL,UNIROYAL,1,1,164,0.6
UNKNOWN,AUTOMATIC,1,1,356,0.3
URAL,TOURIST,1,1,9,11.1
UTILIMASTER,AEROMATE,1,1,2,50.0
VENTO,VTHUNDER,1,1,8,12.5
VENTURE,5000 VRT,1,1,3,33.3
VESPA,GTS 250,1,0,8,12.5
VICTORY,GUNNER,1,1,2,50.0
VICTORY,JACKPOT,1,0,4,25.0
VICTORY,NESS JACKPOT,1,1,1,100.0
VICTORY,NESS VISION,1,1,7,14.3
VICTORY,TOURING CRUISER,1,1,5,20.0
VICTORY,V92 SPECIAL EDITION,1,0,1,100.0
VICTORY,VICTORY,1,1,6,16.7
VICTORY,VISION,1,1,92,1.1
VIKING,VIKING,1,1,8,12.5
VINFAST,VF 9,1,1,4,25.0
VMI,HONDA ODYSSEY NORTHSTAR,1,1,4,25.0
VOLKSWAGEN,BEETLE CONVERTIBLE,1,0,48,2.1
VOLKSWAGEN,GLI,1,1,23,4.3
VOLKSWAGEN,VANAGON,1,0,57,1.8
VOLKSWAGEN,WESTPHALIA,1,0,1,100.0
VOLVO,600 SERIES,1,1,3,33.3
VOLVO,700,1,0,8,12.5
VOLVO,700 SERIES,1,1,1,100.0
VOLVO,780,1,1,40,2.5
VOLVO,C70 CONVERTIBLE,1,1,46,2.2
VOLVO,DL,1,0,14,7.1
VOLVO,S40N,1,1,19,5.3
VOLVO,TD365,1,1,2,50.0
VOLVO,V70AWD,1,0,7,14.3
VOLVO,V90CC,1,0,37,2.7
VOLVO,VAH,1,1,1,100.0
VOLVO,VHD,1,1,20,5.0
VOLVO,VNL (4),1,1,14,7.1
VOLVO,VOLVO WHITE,1,1,5,20.0
VOLVO,WIATES,1,1,17,5.9
VOLVO,WXLL,1,1,3,33.3
VOLVO,XC90H,1,0,9,11.1
WARREN,BRAKE FLUID,1,1,1,100.0
WESTERN,ALPINE,1,0,23,4.3
WESTERN STAR,47X,1,1,5,20.0
WINNEBAGO,31BE,1,0,2,50.0
WINNEBAGO,EKKO,1,0,172,0.6
WINNEBAGO,ELANTE,1,1,4,25.0
WINNEBAGO,ERA,1,1,20,5.0
WINNEBAGO,INSPIRE,1,1,5,20.0
WINNEBAGO,MINNIE WINNIE,1,0,76,1.3
WINNEBAGO,NAVION,1,0,22,4.5
WINNEBAGO,RIALTA,1,0,12,8.3
WINNEBAGO,SIGHTSEER,1,1,76,1.3
WINNEBAGO,SUN CRUISER,1,1,15,6.7
WINNEBAGO,TRAVATO,1,1,44,2.3
WINNEBAGO,VOYAGE,1,0,9,11.1
WINNEBAGO,WCM34WQ,1,1,4,25.0
WINSTON,TRAILER,1,1,1,100.0
WORKHORSE,P320042,1,1,2,50.0
YAMAHA,BOLT,1,0,112,0.9
YAMAHA,FJR1300AE,1,1,16,6.2
YAMAHA,FZ07,1,1,6,16.7
YAMAHA,FZ6,1,0,62,1.6
YAMAHA,FZ600,1,1,1,100.0
YAMAHA,FZR1000,1,1,1,100.0
YAMAHA,FZR600,1,1,9,11.1
YAMAHA,RIVA,1,1,2,50.0
YAMAHA,ROAD STAR MM LIMITED,1,1,1,100.0
YAMAHA,ROYALE VENTURE,1,1,5,20.0
YAMAHA,STAR ELUDE,1,0,3,33.3
YAMAHA,SVS650,1,1,2,50.0
YAMAHA,V STAR,1,0,3,33.3
YAMAHA,V STAR 1000,1,0,4,25.0
YAMAHA,VMX12,1,1,9,11.1
YAMAHA,WARRIOR,1,0,28,3.6
YAMAHA,XTZ12,1,1,19,5.3
YAMAHA,XV1100,1,1,2,50.0
YAMAHA,XV1600AN,1,1,1,100.0
YAMAHA,XV1600ATL,1,1,2,50.0
YAMAHA,XV16A,1,0,3,33.3
YAMAHA,XV1700,1,1,60,1.7
YAMAHA,XV17PCPC,1,1,1,100.0
YAMAHA,XV17PCR,1,1,1,100.0
YAMAHA,XVS13,1,1,11,9.1
YAMAHA,XVS1900,1,1,4,25.0
YAMAHA,YZF-R6,1,0,5,20.0
YAMAHA,YZF-R6R(C),1,0,3,33.3
YAMAHA,YZF-R7,1,0,1,100.0
YAMAHA,YZFR1M,1,1,3,33.3
YAMAHA,YZFR1MF,1,1,2,50.0
YAMAHA,YZFR1S,1,1,1,100.0
YAMAHA,YZFR6M,1,1,2,50.0
YOKOHAMA,DIGGER,1,1,5,20.0
YOKOHAMA,YOKOHAMA,1,0,131,0.8
